ax,ay,FILE_points_my
1,1,files/0.points.csv
1,2,files/1.points.csv
1,3,files/2.points.csv
1,4,files/3.points.csv
1,5,files/4.points.csv
2,1,files/5.points.csv
2,2,files/6.points.csv
2,3,files/7.points.csv
2,4,files/8.points.csv
2,5,files/9.points.csv
3,1,files/10.points.csv
3,2,files/11.points.csv
3,3,files/12.points.csv
3,4,files/13.points.csv
3,5,files/14.points.csv
4,1,files/15.points.csv
4,2,files/16.points.csv
4,3,files/17.points.csv
4,4,files/18.points.csv
4,5,files/19.points.csv
5,1,files/20.points.csv
5,2,files/21.points.csv
5,3,files/22.points.csv
5,4,files/23.points.csv
5,5,files/24.points.csv
