X,Y,Z,R,G,B
59.20,2.95,82.41,0.50,0.00,1.00
56.87,7.15,81.46,0.50,0.00,1.00
54.45,10.49,84.03,0.50,0.00,1.00
52.49,11.58,80.71,0.50,0.00,1.00
51.21,15.50,80.40,0.50,0.00,1.00
47.22,15.33,78.35,0.50,0.00,1.00
44.72,16.72,74.26,0.50,0.00,1.00
39.31,14.56,76.07,0.50,0.00,1.00
39.69,12.81,72.63,0.50,0.00,1.00
35.50,12.91,72.00,0.50,0.00,1.00
32.69,10.51,70.12,0.50,0.00,1.00
32.91,14.39,68.07,0.50,0.00,1.00
32.80,14.77,64.05,0.50,0.00,1.00
31.82,18.79,65.44,0.50,0.00,1.00
33.25,21.56,61.62,0.50,0.00,1.00
34.63,25.07,63.91,0.50,0.00,1.00
34.43,28.65,61.84,0.50,0.00,1.00
38.70,30.30,63.59,0.50,0.00,1.00
39.96,34.33,63.02,0.50,0.00,1.00
43.79,31.36,62.85,0.50,0.00,1.00
42.73,26.91,61.27,0.50,0.00,1.00
37.88,28.20,58.53,0.50,0.00,1.00
36.87,24.18,58.83,0.50,0.00,1.00
38.90,21.65,62.87,0.50,0.00,1.00
38.08,18.26,64.75,0.50,0.00,1.00
36.04,19.87,68.22,0.50,0.00,1.00
35.83,17.59,72.05,0.50,0.00,1.00
33.09,19.28,73.79,0.50,0.00,1.00
30.46,22.15,69.81,0.50,0.00,1.00
27.99,25.13,71.09,0.50,0.00,1.00
25.20,24.65,67.29,0.50,0.00,1.00
25.43,29.71,69.15,0.50,0.00,1.00
23.51,29.27,64.12,0.50,0.00,1.00
18.70,29.10,65.90,0.50,0.00,1.00
19.29,26.34,61.93,0.50,0.00,1.00
15.68,25.95,64.23,0.50,0.00,1.00
11.00,26.76,62.34,0.50,0.00,1.00
7.50,25.03,65.37,0.50,0.00,1.00
5.84,25.18,62.00,0.50,0.00,1.00
3.33,24.61,64.63,0.50,0.00,1.00
1.06,29.82,64.33,0.50,0.00,1.00
2.04,29.82,68.65,0.50,0.00,1.00
0.46,31.35,72.72,0.50,0.00,1.00
3.27,35.46,71.83,0.50,0.00,1.00
4.89,35.63,76.68,0.50,0.00,1.00
-0.24,34.01,77.56,0.50,0.00,1.00
-1.70,36.35,75.26,0.50,0.00,1.00
-3.44,34.52,71.99,0.50,0.00,1.00
-3.24,34.20,68.54,0.50,0.00,1.00
-6.98,36.77,65.80,0.50,0.00,1.00
-8.72,31.52,65.24,0.50,0.00,1.00
-9.49,35.44,61.16,0.50,0.00,1.00
-9.68,32.91,58.65,0.50,0.00,1.00
-10.79,33.47,54.34,0.50,0.00,1.00
-11.88,37.52,55.91,0.50,0.00,1.00
-9.56,40.50,56.95,0.50,0.00,1.00
-8.39,43.16,59.52,0.50,0.00,1.00
-11.29,44.36,56.92,0.50,0.00,1.00
-13.58,41.78,57.58,0.50,0.00,1.00
-12.11,42.21,63.17,0.50,0.00,1.00
-13.63,45.73,61.28,0.50,0.00,1.00
-16.06,46.27,57.40,0.50,0.00,1.00
-18.77,42.71,58.78,0.50,0.00,1.00
-18.92,40.07,55.49,0.50,0.00,1.00
-21.74,38.06,56.85,0.50,0.00,1.00
-19.32,35.21,54.34,0.50,0.00,1.00
-16.86,36.59,58.76,0.50,0.00,1.00
-21.11,34.64,60.79,0.50,0.00,1.00
-16.56,33.17,63.11,0.50,0.00,1.00
-14.92,37.08,63.70,0.50,0.00,1.00
-18.43,38.20,67.27,0.50,0.00,1.00
-16.90,36.80,70.86,0.50,0.00,1.00
-12.36,37.00,69.93,0.50,0.00,1.00
-11.98,39.79,75.39,0.50,0.00,1.00
-7.38,38.91,73.94,0.50,0.00,1.00
-6.62,40.07,69.67,0.50,0.00,1.00
-0.79,39.10,70.54,0.50,0.00,1.00
0.19,37.15,67.12,0.50,0.00,1.00
-4.04,39.49,63.87,0.50,0.00,1.00
-4.08,35.47,61.57,0.50,0.00,1.00
-4.16,37.22,56.83,0.50,0.00,1.00
-4.82,33.11,55.26,0.50,0.00,1.00
-2.43,34.73,51.28,0.50,0.00,1.00
-7.00,33.12,50.17,0.50,0.00,1.00
-7.90,36.36,51.88,0.50,0.00,1.00
-12.71,37.05,48.88,0.50,0.00,1.00
-14.11,37.91,52.68,0.50,0.00,1.00
-13.42,42.71,53.13,0.50,0.00,1.00
-13.92,45.15,50.47,0.50,0.00,1.00
-18.20,43.59,50.59,0.50,0.00,1.00
-20.34,47.99,47.50,0.50,0.00,1.00
-16.51,47.71,46.13,0.50,0.00,1.00
-12.94,49.73,47.90,0.50,0.00,1.00
-10.40,53.33,50.63,0.50,0.00,1.00
-10.57,50.96,55.58,0.50,0.00,1.00
-9.35,54.43,55.99,0.50,0.00,1.00
-6.17,55.17,57.68,0.50,0.00,1.00
-6.11,48.54,55.25,0.50,0.00,1.00
-1.61,50.32,56.52,0.50,0.00,1.00
-2.21,53.25,60.50,0.50,0.00,1.00
-6.59,50.56,61.78,0.50,0.00,1.00
-3.51,45.84,58.96,0.50,0.00,1.00
0.07,49.00,63.77,0.50,0.00,1.00
-4.40,51.14,66.34,0.50,0.00,1.00
-6.79,46.31,65.41,0.50,0.00,1.00
-2.61,44.46,66.87,0.50,0.00,1.00
-2.60,45.91,70.41,0.50,0.00,1.00
-5.82,43.38,71.84,0.50,0.00,1.00
-6.54,44.19,75.82,0.50,0.00,1.00
-10.35,44.65,75.88,0.50,0.00,1.00
-12.47,44.04,71.72,0.50,0.00,1.00
-16.68,46.31,75.46,0.50,0.00,1.00
-20.41,43.46,70.76,0.50,0.00,1.00
-21.04,49.70,72.26,0.50,0.00,1.00
-26.50,48.42,68.21,0.50,0.00,1.00
-23.35,53.37,68.88,0.50,0.00,1.00
-25.88,54.96,65.96,0.50,0.00,1.00
-29.63,50.96,66.24,0.50,0.00,1.00
-32.26,48.01,62.06,0.50,0.00,1.00
